country,rank,similar_country,similarity
France,15,Saudi Arabia,-0.9898208960608995
France,16,Indonesia,-0.9903145694473207
France,17,China,-0.9923754685781244
France,18,India,-0.993013148286668
Italy,1,United States,0.8450596560802505
Italy,2,Japan,0.7885739683081744
Italy,3,Canada,0.632592835186228
Italy,4,South Africa,0.5741357386062003
Italy,5,Mexico,0.5696525115506245
Italy,6,Australia,0.5549562272126299
Italy,7,South Korea,0.49863734499856943
Italy,8,Argentina,0.47610160942935986
Italy,9,Brazil,0.46781874818818475
Italy,10,Turkey,0.4207208794877832
Italy,11,Saudi Arabia,0.4077514242265348
Italy,12,Indonesia,0.39518567697348117
Italy,13,China,0.36707734354925203
Italy,14,India,0.3522570851582598
Italy,15,Russia,-0.16094175641085223
Italy,16,United Kingdom,-0.26447196603622436
Italy,17,France,-0.3162001789741333
Italy,18,Germany,-0.34227715064664405
Canada,1,Mexico,0.9955342298136698
Canada,2,South Africa,0.9952135007314649
Canada,3,Australia,0.994831763718124
Canada,4,South Korea,0.9860488671685707
Canada,5,Argentina,0.9820271780151643
Canada,6,Brazil,0.9803166718547225
Canada,7,Japan,0.974408394106602
Canada,8,Turkey,0.9685332473643049
Canada,9,Saudi Arabia,0.9647252239292626
Canada,10,Indonesia,0.9612514298203959
Canada,11,China,0.9524377920452652
Canada,12,India,0.9475193743437595
Canada,13,United States,0.9450993056834569
Canada,14,Italy,0.632592835186228
Canada,15,Russia,-0.5675347103533039
Canada,16,United Kingdom,-0.9114544228816317
Canada,17,France,-0.9283333232221144
Canada,18,Germany,-0.9424282725896714
Brazil,1,Argentina,0.9997240479231473
Brazil,2,South Korea,0.9989708739924906
Brazil,3,Turkey,0.9984746730371317
Brazil,4,Saudi Arabia,0.9972906207552916
Brazil,5,Indonesia,0.9965323889750707
Brazil,6,Australia,0.9945982898026603
Brazil,7,China,0.993702043159202
Brazil,8,India,0.9917465213692686
Brazil,9,Mexico,0.9914134950599054
Brazil,10,South Africa,0.9901752671416071
Brazil,11,Canada,0.9803166718547225
Brazil,12,Japan,0.9117241065877006
Brazil,13,United States,0.8640237410166711
Brazil,14,Italy,0.46781874818818475
Brazil,15,Russia,-0.6109469621599728
Brazil,16,United Kingdom,-0.9724041258946324
Brazil,17,France,-0.9799852508852055
Brazil,18,Germany,-0.9889653799737635
Russia,1,Germany,0.6589704208801411
Russia,2,France,0.5820635646543557
Russia,3,United Kingdom,0.5581538502313511
Russia,4,Italy,-0.16094175641085223
Russia,5,Japan,-0.4940275063446703
Russia,6,United States,-0.5082904922237177
Russia,7,Mexico,-0.5519878022150879
Russia,8,South Africa,-0.5523612420145376
Russia,9,Canada,-0.5675347103533039
Russia,10,Saudi Arabia,-0.5973791990220967
Russia,11,Australia,-0.5988263594796955
Russia,12,Argentina,-0.5990012454605423
Russia,13,Brazil,-0.6109469621599728
Russia,14,Turkey,-0.6123985985945912
Russia,15,China,-0.6144262284982522
Russia,16,Indonesia,-0.6150052427801128
Russia,17,India,-0.6152994397783476
Russia,18,South Korea,-0.6223640185199781
India,1,China,0.999812006477249
India,2,Indonesia,0.9989116967331524
India,3,Saudi Arabia,0.9980197159678368
India,4,Turkey,0.9971935330858994
India,5,Brazil,0.9917465213692686
India,6,Argentina,0.990520435100814
India,7,South Korea,0.9860875843924469
India,8,Australia,0.973610504281831
India,9,Mexico,0.9686621440638153
India,10,South Africa,0.9665520608430178
India,11,Canada,0.9475193743437595
India,12,Japan,0.8522390091242651
India,13,United States,0.7931268141594588
India,14,Italy,0.3522570851582598
India,15,Russia,-0.6152994397783476
India,16,United Kingdom,-0.9929815473768241
India,17,France,-0.993013148286668
India,18,Germany,-0.9980244742045815
Australia,1,Mexico,0.9983214644214684
Australia,2,South Africa,0.9980259448996884
Australia,3,South Korea,0.9976810505084212
Australia,4,Argentina,0.9951183993277776
Australia,5,Canada,0.994831763718124
Australia,6,Brazil,0.9945982898026603
Australia,7,Turkey,0.9879464753137699
Australia,8,Saudi Arabia,0.98510284845512
Australia,9,Indonesia,0.9831181173395594
Australia,10,China,0.9771411030177992
Australia,11,India,0.973610504281831
Australia,12,Japan,0.9480137012428038
Australia,13,United States,0.9101337124845121
Australia,14,Italy,0.5549562272126299
Australia,15,Russia,-0.5988263594796955
Australia,16,United Kingdom,-0.9448914451799264
Australia,17,France,-0.9600879832959581
Australia,18,Germany,-0.9707555209202791
Mexico,1,South Africa,0.999724309770882
Mexico,2,Australia,0.9983214644214684
Mexico,3,Canada,0.9955342298136698
Mexico,4,South Korea,0.993959015362599
Mexico,5,Argentina,0.992845441728078
Mexico,6,Brazil,0.9914134950599054
Mexico,7,Turkey,0.9841124613471655
Mexico,8,Saudi Arabia,0.9821676232443776
Mexico,9,Indonesia,0.9787741202832811
Mexico,10,China,0.9725069715985556
Mexico,11,India,0.9686621440638153
Mexico,12,Japan,0.952877373022777
Mexico,13,United States,0.9129210961187094
Mexico,14,Italy,0.5696525115506245
Mexico,15,Russia,-0.5519878022150879
Mexico,16,United Kingdom,-0.9424312953871478
Mexico,17,France,-0.9568933033626837
Mexico,18,Germany,-0.9626051422546301
Indonesia,1,Saudi Arabia,0.9996420254769443
Indonesia,2,Turkey,0.9995591910431932
Indonesia,3,China,0.9994420367839484
Indonesia,4,India,0.9989116967331524
Indonesia,5,Brazil,0.9965323889750707
Indonesia,6,Argentina,0.9956651067995266
Indonesia,7,South Korea,0.9926345139816336
Indonesia,8,Australia,0.9831181173395594
Indonesia,9,Mexico,0.9787741202832811
Indonesia,10,South Africa,0.9769399642274099
Indonesia,11,Canada,0.9612514298203959
Indonesia,12,Japan,0.8754035189041509
Indonesia,13,United States,0.820464208395246
Indonesia,14,Italy,0.39518567697348117
Indonesia,15,Russia,-0.6150052427801128
Indonesia,16,United Kingdom,-0.987414035212046
Indonesia,17,France,-0.9903145694473207
Indonesia,18,Germany,-0.9967702224833997
Turkey,1,Saudi Arabia,0.9996458539965706
Turkey,2,Indonesia,0.9995591910431932
Turkey,3,Brazil,0.9984746730371317
Turkey,4,China,0.9982373119095467
Turkey,5,Argentina,0.9978334353688918
Turkey,6,India,0.9971935330858994
Turkey,7,South Korea,0.9956300614265617
Turkey,8,Australia,0.9879464753137699
Turkey,9,Mexico,0.9841124613471655
Turkey,10,South Africa,0.9826217612433955
Turkey,11,Canada,0.9685332473643049
Turkey,12,Japan,0.8886199605546435
Turkey,13,United States,0.8359823224229319
Turkey,14,Italy,0.4207208794877832
Turkey,15,Russia,-0.6123985985945912
Turkey,16,United Kingdom,-0.9831144369208943
Turkey,17,France,-0.9881907731482312
Turkey,18,Germany,-0.9948489214151883
Saudi Arabia,1,Turkey,0.9996458539965706
Saudi Arabia,2,Indonesia,0.9996420254769443
Saudi Arabia,3,China,0.9988613210878124
Saudi Arabia,4,India,0.9980197159678368
Saudi Arabia,5,Brazil,0.9972906207552916
Saudi Arabia,6,Argentina,0.9968581345353064
Saudi Arabia,7,South Korea,0.9934032737635174
Saudi Arabia,8,Australia,0.98510284845512
Saudi Arabia,9,Mexico,0.9821676232443776
Saudi Arabia,10,South Africa,0.9804378259568003
Saudi Arabia,11,Canada,0.9647252239292626
Saudi Arabia,12,Japan,0.8819282392406093
Saudi Arabia,13,United States,0.8266011322862492
Saudi Arabia,14,Italy,0.4077514242265348
Saudi Arabia,15,Russia,-0.5973791990220967
Saudi Arabia,16,United Kingdom,-0.9867547397436439
Saudi Arabia,17,France,-0.9898208960608995
Saudi Arabia,18,Germany,-0.9945478854306784
South Africa,1,Mexico,0.999724309770882
South Africa,2,Australia,0.9980259448996884
South Africa,3,Canada,0.9952135007314649
South Africa,4,South Korea,0.9932664953602754
South Africa,5,Argentina,0.9915599525849295
South Africa,6,Brazil,0.9901752671416071
South Africa,7,Turkey,0.9826217612433955
South Africa,8,Saudi Arabia,0.9804378259568003
South Africa,9,Indonesia,0.9769399642274099
South Africa,10,China,0.9706046484977192
South Africa,11,India,0.9665520608430178
South Africa,12,Japan,0.9539228596909376
South Africa,13,United States,0.9146302182396218
South Africa,14,Italy,0.5741357386062003
South Africa,15,Russia,-0.5523612420145376
South Africa,16,United Kingdom,-0.9396254751574079
South Africa,17,France,-0.9564873768501004
South Africa,18,Germany,-0.9609729710064734
Argentina,1,Brazil,0.9997240479231473
Argentina,2,South Korea,0.9986136865611177
Argentina,3,Turkey,0.9978334353688918
Argentina,4,Saudi Arabia,0.9968581345353064
Argentina,5,Indonesia,0.9956651067995266
Argentina,6,Australia,0.9951183993277776
Argentina,7,Mexico,0.992845441728078
Argentina,8,China,0.9926782550362735
Argentina,9,South Africa,0.9915599525849295
Argentina,10,India,0.990520435100814
Argentina,11,Canada,0.9820271780151643
Argentina,12,Japan,0.915189555780952
Argentina,13,United States,0.8676738948784838
Argentina,14,Italy,0.47610160942935986
Argentina,15,Russia,-0.5990012454605423
Argentina,16,United Kingdom,-0.9713037952745626
Argentina,17,France,-0.9781934647244386
Argentina,18,Germany,-0.9868526284778218
South Korea,1,Brazil,0.9989708739924906
South Korea,2,Argentina,0.9986136865611177
South Korea,3,Australia,0.9976810505084212
South Korea,4,Turkey,0.9956300614265617
South Korea,5,Mexico,0.993959015362599
South Korea,6,Saudi Arabia,0.9934032737635174
South Korea,7,South Africa,0.9932664953602754
South Korea,8,Indonesia,0.9926345139816336
South Korea,9,China,0.9885780634514281
South Korea,10,India,0.9860875843924469
South Korea,11,Canada,0.9860488671685707
South Korea,12,Japan,0.9250196590396633
South Korea,13,United States,0.8819882175722037
South Korea,14,Italy,0.49863734499856943
South Korea,15,Russia,-0.6223640185199781
South Korea,16,United Kingdom,-0.9620404563899703
South Korea,17,France,-0.974013744308092
South Korea,18,Germany,-0.9846025052487296
